Date,Rate
2015-10-15,0.646285
2015-10-16,0.64766
2015-10-17,0.64766
2015-10-18,0.647825
2015-10-19,0.646533
2015-10-20,0.647409
2015-10-21,0.648574
2015-10-22,0.649717
2015-10-23,0.653054
2015-10-24,0.653054
2015-10-25,0.65292
2015-10-26,0.651538
2015-10-27,0.653203
2015-10-28,0.654934
2015-11-01,0.647269
2015-11-02,0.648682
2015-11-03,0.648482
2015-11-04,0.649764
2015-11-05,0.657416
2015-11-06,0.664411
2015-11-07,0.664411
2015-11-08,0.664463
2015-11-09,0.661587
2015-11-10,0.661334
2015-11-11,0.65726
2015-11-12,0.656586
2015-11-13,0.656383
2015-11-14,0.656383
2015-11-15,0.656731
2015-11-16,0.657817
2015-11-17,0.657246
2015-11-18,0.656542
2015-11-19,0.653973
2015-11-20,0.658268
2015-11-21,0.658268
2015-11-22,0.658442
2015-11-23,0.661206
2015-11-24,0.662903
2015-11-25,0.661083
2015-11-26,0.662198
2015-11-27,0.665166
2015-11-28,0.665178
2015-12-01,0.663197
2015-12-02,0.668982
2015-12-03,0.660488
2015-12-04,0.661737
2015-12-05,0.661737
2015-12-06,0.662074
2015-12-07,0.664293
2015-12-08,0.666084
2015-12-09,0.658734
2015-12-10,0.659574
2015-12-11,0.657416
2015-12-12,0.657416
2015-12-13,0.65767
2015-12-14,0.659417
2015-12-15,0.665051
2015-12-16,0.666828
2015-12-17,0.670908
2015-12-18,0.671451
2015-12-19,0.671451
2015-12-20,0.670887
2015-12-21,0.671762
2015-12-22,0.674505
2015-12-23,0.672474
2015-12-24,0.670857
2015-12-25,0.672607
2015-12-26,0.672607
2015-12-27,0.669954
2015-12-28,0.67201
2016-01-01,0.678607
2016-01-02,0.677491
2016-01-03,0.678475
2016-01-04,0.679566
2016-01-05,0.68132
2016-01-06,0.683499
2016-01-07,0.683951
2016-01-08,0.688751
2016-01-09,0.688751
2016-01-10,0.6889
2016-01-11,0.687321
2016-01-12,0.692697
2016-01-13,0.69393
2016-01-14,0.693662
2016-01-15,0.701436
2016-01-16,0.701436
2016-01-17,0.701441
2016-01-18,0.701969
2016-01-19,0.706178
2016-01-20,0.704754
2016-01-21,0.703261
2016-01-22,0.700919
2016-01-23,0.700919
2016-01-24,0.700737
2016-01-25,0.701957
2016-01-26,0.696926
2016-01-27,0.702039
2016-01-28,0.696476
2016-02-01,0.693213
2016-02-02,0.693864
2016-02-03,0.685419
2016-02-04,0.685892
2016-02-05,0.689551
2016-02-06,0.689551
2016-02-07,0.689762
2016-02-08,0.692938
2016-02-09,0.690966
2016-02-10,0.688169
2016-02-11,0.690543
2016-02-12,0.689458
2016-02-13,0.689458
2016-02-14,0.689483
2016-02-15,0.692762
2016-02-16,0.699142
2016-02-17,0.699782
2016-02-18,0.697606
